key,en,zh-Hant,zh-Hans,ja,ko,es,fr,de,pt,vi,ar,ru
data.martialArt.soulshadeUmbrella.talent.3.name,Silkbind Attribute Up,,,,견사 속성 향상,,,,,,,
data.martialArt.stormbreakerSpear.talent.0.name,Stonesplit Attribute Up,裂石屬性提升,,,열석 속성 향상,,,,,,,
data.martialArt.thundercryBlade.talent.0.name,Charged and Varied Combo Enhancement,蓄力及派生技強化,,,차지 판정 강화,,,,,,,
data.martialArt.thundercryBlade.talent.1.name,Power Physical Attack Up,勁力外功攻擊提升,,,외공 공격 강화,,,,,,,
data.martialArt.thundercryBlade.talent.2.name,Charged and Varied Combo Critical Rate Up,蓄力及派生技會心率提升,,,차지 치명타 강화,,,,,,,
data.martialArt.thundercryBlade.talent.3.name,Stonesplit Attribute Up,裂石屬性提升,,,열석 속성 향상,,,,,,,
data.official.profileMap.innerWays.351.name,Royal Remedy,,,,군신의 묘약,,,,,,,
data.official.profileMap.innerWays.44.name,Fury Harvest,,,,분노의 참격,,,,,,,
data.path.bamboocutDust.name,Dust,塵,,,파죽 진,,,,,,,
data.path.bamboocutKite.name,Kite,鳶,,,파죽 연,,,,,,,
data.path.mixed.name,Mixed,混搭,,,혼합,,,,,,,
data.path.stonesplitMight.name,Might,威,,,열석 위,,,,,,,
data.path.stonesplitStrength.name,Strength,鈞,,,열석 균,,,,,,,
data.rotation.bamboocutKite.dummy1MinInfiniteVitality.name,Dummy 1 Min Infinite Vitality,木椿1分鐘無限精元,,,,,,,,,,
data.rotation.bamboocutKite.dummy1MinIvBp.name,Dummy 1 Min IV BP,,,,,,,,,,,
data.rotation.empty.name,Empty Rotation,空白循環,,,,,,,,,,
data.rotation.silkbindDeluge.dummy1MinRegularFire.name,Dummy 1 Min Regular Fire,,,,,,,,,,,
data.rotation.silkbindDeluge.dummy1MinSmolder.name,Dummy 1 Min Smolder,,,,,,,,,,,
data.rotation.stonesplitMight.dummy1Min.name,Dummy 1 min,木樁1分鐘,,,,,,,,,,
data.rotation.stonesplitStrength.mixedDummy1Min.name,Mixed Dummy 1 Min,雙切木樁1分鐘,,,,,,,,,,
data.rotation.stonesplitStrength.mixedDummy1MinDoubleStab.name,Mixed Dummy 1 Min Double Stab,,,,,,,,,,,
data.rotation.stonesplitStrength.mixedDummyInfiniteVitality1Min.name,Mixed Dummy Infinite Vitality 1 Min,雙切木樁1分鐘無限精元,,,,,,,,,,
data.rotation.stonesplitStrength.mixedDummySmolderPoet1Min.name,Mixed Dummy Smolder Poet 1 Min,雙切木樁1分鐘暗灼,,,,,,,,,,
data.rotation.stonesplitStrength.mixedHorseTamerStandard27s.name,Mixed Horse Tamer Standard 27s,,,,,,,,,,,
data.rotation.stonesplitStrength.mixedHorseTamerStandard27sNoFcn.name,Mixed Horse Tamer Standard 27s No FCN,,,,,,,,,,,
data.rotation.stonesplitStrength.pureDummy1Min.name,Pure Dummy 1 min,純唐木樁1分鐘,,,,,,,,,,
data.rotation.stonesplitStrength.pureDummy1Min2.name,Pure Dummy 1 Min 2,純唐木樁1分鐘2,,,,,,,,,,
data.rotation.stonesplitStrength.pureHorseTamerStandard27s.name,Pure Horse Tamer Standard 27s,純唐舞馬人普通 27秒,,,,,,,,,,
data.script.Convergence.description,All attribute attack damage +15% against targets above 60% Qi.,,,,진기 비율이 60%를 초과한 목표에게 입히는 전체 속성 공격 피해가 15% 증가한다.,,,,,,,
data.script.Convergence.name,Convergence Script,存煞帖,,,살기첩,,,,,,,
data.script.Detachment.description,Affinity DMG +10% against targets below 40% HP.,,,,,,,,,,,
data.script.Detachment.name,Detachment Script,懸解帖,,,현해첩,,,,,,,
data.script.Insight.description,Mystic Skill DMG +15% against targets above 60% HP.,,,,,,,,,,,
data.script.Insight.name,Insight Script,明鑑帖,,,명감첩,,,,,,,
data.script.None.description,No Script effect.,,,,,,,,,,,
data.script.None.name,None,無,,,없음,,,,,,,
data.script.Opportunity.description,Critical DMG +10% against targets below 40% HP.,,,,,,,,,,,
data.script.Opportunity.name,Opportunity Script,行藏帖,,,,,,,,,,
data.script.Revelry.description,Taking damage at or below 30% self HP grants Revelry.,,,,,,,,,,,
data.script.Revelry.name,Revelry Script,承歡帖,,,승환첩,,,,,,,
data.script.Voidrot.description,Affinity DMG +10% against targets below 40% Qi.,,,,,,,,,,,
data.script.Voidrot.name,Voidrot Script,蝕淵帖,,,식연첩,,,,,,,
data.script.Wraithstrike.description,Critical DMG +10% against targets below 40% Qi.,,,,,,,,,,,
data.script.Wraithstrike.name,Wraithstrike Script,鬼掣帖,,,귀영첩,,,,,,,
data.skill.general.AoRT4Shield.name,AoR T4 Shield,抗造4護盾,,,저항의법칙 4돌 보호막,,,,,,,
data.skill.general.Defense.name,Defense,防禦,,,방어,,,,,,,
data.skill.general.Deflect.name,Deflect,卸勢,,,패링,,,,,,,
data.skill.general.DeflectSuccessful.name,Deflect (Successful),成功卸勢,,,,,,,,,,
data.skill.general.MoraleChant.name,Morale Chant,易水歌,,,결의의 노래,,,,,,,
data.skill.general.PerfectDodge.name,Perfect Dodge,完美閃避,,,완벽회피,,,,,,,
data.skill.general.PerfectDodgeCancel.name,Perfect Dodge [Cancel],完美閃避(打斷),,,완벽 회피(캔슬),,,,,,,
data.skill.general.RiposteTrigger.name,Riposte Trigger,防反觸發,,,방어반격,,,,,,,
data.skill.heavenwillGauntlets.AllUnderJustice.name,All Under Justice,天下歸義,,,,,,,,,,
data.skill.heavenwillGauntlets.AllUnderJustice.shortName,Gauntlet Special,,,,,,,,,,,
data.skill.heavenwillGauntlets.CelestialMandate.name,Celestial Mandate,莫如法天,,,,,,,,,,
data.skill.heavenwillGauntlets.CelestialMandate.shortName,Gauntlet Q2,,,,,,,,,,,
data.skill.heavenwillGauntlets.HeavenwillDeclared.name,Heavenwill Declared,我有天志,,,,,,,,,,
data.skill.heavenwillGauntlets.HeavenwillDeclared.shortName,Gauntlet Q1,,,,,,,,,,,
data.skill.heavenwillGauntlets.LightAttackFalcon.name,Light Attack Falcon,輕擊鷹隼,,,,,,,,,,
data.skill.heavenwillGauntlets.RighteousReign1stHit.name,Righteous Reign 1st Hit,天欲義第1擊,,,,,,,,,,
data.skill.heavenwillGauntlets.RighteousReign1stHit.shortName,Gauntlet A1,,,,,,,,,,,
data.skill.heavenwillGauntlets.RighteousReign2ndHit.name,Righteous Reign 2nd Hit,天欲義第2擊,,,,,,,,,,
data.skill.heavenwillGauntlets.RighteousReign2ndHit.shortName,Gauntlet A2,,,,,,,,,,,
data.skill.heavenwillGauntlets.RighteousReign3rdHit.name,Righteous Reign 3rd Hit,天欲義第3擊,,,,,,,,,,
data.skill.heavenwillGauntlets.RighteousReign3rdHit.shortName,Gauntlet A3,,,,,,,,,,,
data.skill.heavenwillGauntlets.RighteousReign4thHit.name,Righteous Reign 4th Hit,天欲義第4擊,,,,,,,,,,
data.skill.heavenwillGauntlets.RighteousReign4thHit.shortName,Gauntlet A4,,,,,,,,,,,
data.skill.heavenwillGauntlets.RighteousReign5thHit.name,Righteous Reign 5th Hit,天欲義第5擊,,,,,,,,,,
data.skill.heavenwillGauntlets.RighteousReign5thHit.shortName,Gauntlet A5,,,,,,,,,,,
data.skill.heavenwillGauntlets.RighteousReign6thHit.name,Righteous Reign 6th Hit,天欲義第6擊,,,,,,,,,,
data.skill.heavenwillGauntlets.RighteousReign6thHit.shortName,Gauntlet A6,,,,,,,,,,,
data.skill.heavenwillGauntlets.RighteousReign6thHitCancel.name,Righteous Reign 6th Hit [Cancel],天欲義第6擊 [取消],,,,,,,,,,
data.skill.heavenwillGauntlets.RighteousReign6thHitCancel.shortName,Gauntlet A6,,,,,,,,,,,
data.skill.heavenwillGauntlets.SkyGrippedReplay.name,Heaven's Might Damage,天威傷害,,,,,,,,,,
data.skill.heavenwillGauntlets.SoaringHighT6Refund.name,Soaring High T6 Refund,,,,,,,,,,,
data.skill.heavenwillGauntlets.VileCondemned.name,Vile Condemned,無義當誅,,,,,,,,,,
data.skill.heavenwillGauntlets.VileCondemned.shortName,Gauntlet Charged,,,,,,,,,,,
data.skill.heavenwillGauntlets.VileCondemnedCharge.name,Vile Condemned Charge,,,,,,,,,,,
data.skill.heavenwillGauntlets.VileCondemnedEndHit.name,Vile Condemned End Hit,,,,,,,,,,,
data.skill.heavenwillGauntlets.VileCondemnedHit.name,Vile Condemned Hit,,,,,,,,,,,
data.skill.heavenwillGauntlets.VirtuousEnthroned1stHit.name,Virtuous Enthroned 1st Hit,有義則治第1擊,,,,,,,,,,
data.skill.heavenwillGauntlets.VirtuousEnthroned1stHit.shortName,Gauntlet H1,,,,,,,,,,,
data.skill.heavenwillGauntlets.VirtuousEnthroned2ndHit.name,Virtuous Enthroned 2nd Hit,有義則治第2擊,,,,,,,,,,
data.skill.heavenwillGauntlets.VirtuousEnthroned2ndHit.shortName,Gauntlet H2,,,,,,,,,,,
data.skill.heavenwillGauntlets.VirtuousEnthroned3rdHit.name,Virtuous Enthroned 3rd Hit,有義則治第3擊,,,,,,,,,,
data.skill.heavenwillGauntlets.VirtuousEnthroned3rdHit.shortName,Gauntlet H3,,,,,,,,,,,
data.skill.heavenwillGauntlets.WickedDefiance.name,Wicked Defiance,惡不義,,,,,,,,,,
data.skill.heavenwillGauntlets.WickedDefiance.shortName,Gauntlet VC,,,,,,,,,,,
data.skill.mystic.BurstingNine.name,Bursting Nine,衍九矢,,,연구의 화살,,,,,,,
data.skill.mystic.BurstingNine2Shots.name,Bursting Nine 2 Shots,衍九矢二連,,,연구의 화살 2타,,,,,,,
data.skill.mystic.CombustionExplosion.name,Combustion Explosion,爆燃爆炸,,,폭연 폭발,,,,,,,
data.skill.mystic.DragonHeadTide.name,Dragon Head - Tide,葉龍驤首・疊浪,,,용의 진노 - 겹쳐진 파도,,,,,,,
data.skill.mystic.DragonsBreath1.name,Dragon's Breath 1-Hit [Cancel],神龍吐火1下(打斷),,,신룡의 화염 1타(캔슬),,,,,,,
data.skill.mystic.DragonsBreath1.shortName,Breath 1 Hit,吐火1,,,신룡의 화염 1타,,,,,,,
data.skill.mystic.DragonsBreath2.name,Dragon's Breath 2-Hit [Cancel],神龍吐火2下(打斷),,,신룡의 화염 2타(캔슬),,,,,,,
data.skill.mystic.DragonsBreath2.shortName,Breath Full,吐火2,,,신룡의 화염,,,,,,,
data.skill.mystic.DragonsBreathSmolder1.name,Dragon's Breath - Smolder 1-Hit [Cancel],神龍吐火・暗灼1下(打斷),,,신룡의 화염 암작 1타(캔슬),,,,,,,
data.skill.mystic.DragonsBreathSmolder1.shortName,Smolder 1 Hit,暗火1,,,암작 1타,,,,,,,
data.skill.mystic.DragonsBreathSmolder2.name,Dragon's Breath - Smolder 2-Hit [Cancel],神龍吐火・暗灼2下(打斷),,,신룡의 화염 암작 2타(캔슬),,,,,,,
data.skill.mystic.DragonsBreathSmolder2.shortName,Smolder Full,暗火2,,,암작,,,,,,,
data.skill.mystic.DrunkenPoet1.name,Drunken Poet 1st Hit,太白醉月第一擊,,,,,,,,,,
data.skill.mystic.DrunkenPoet1.shortName,Poet,太白,,,,,,,,,,
data.skill.mystic.DrunkenPoet2.name,Drunken Poet 2nd Hit,太白醉月第二擊,,,,,,,,,,
data.skill.mystic.DrunkenPoet2.shortName,Poet,太白,,,,,,,,,,
data.skill.mystic.DrunkenPoet3.name,Drunken Poet 3rd Hit,太白醉月第三擊,,,,,,,,,,
data.skill.mystic.DrunkenPoet3.shortName,Poet,太白,,,,,,,,,,
data.skill.mystic.DrunkenPoet4.name,Drunken Poet 4th Hit,太白醉月第四擊,,,,,,,,,,
data.skill.mystic.DrunkenPoet4.shortName,Poet,太白,,,,,,,,,,
data.skill.mystic.DrunkenPoet5.name,Drunken Poet 5th Hit [Cancel],太白醉月第五擊,,,,,,,,,,
data.skill.mystic.DrunkenPoet5.shortName,Poet,太白,,,,,,,,,,
data.skill.mystic.DrunkenPoetDrink.name,Drunken Poet Drink [Cancel],喝酒,,,,,,,,,,
data.skill.mystic.DrunkenPoetDrink.shortName,Drink,喝酒,,,,,,,,,,
data.skill.mystic.FluteOfTheTides.name,Flute of the Tides Full,簫吟千浪(完整),,,,,,,,,,
data.skill.mystic.FluteOfTheTides.shortName,Flute Full,簫(完整),,,,,,,,,,
data.skill.mystic.FluteOfTheTidesCancel.name,Flute of the Tides [Cancel],簫吟千浪(打斷),,,,,,,,,,
data.skill.mystic.FluteOfTheTidesCancel.shortName,Flute Cancel,簫(打斷),,,,,,,,,,
data.skill.mystic.FluteRipple.name,Flute Chanting a thousand Waves,簫吟千浪,,,,,,,,,,
data.skill.mystic.GhostlySteps.name,Ghostly Step,陰陽迷蹤步,,,,,,,,,,
data.skill.mystic.GhostlyStepsUmbra.name,Ghostly Step - Umbra,陰陽迷蹤步・影,,,,,,,,,,
data.skill.mystic.GhostlyStepsUmbraDodgeGauntlet.name,Ghostly Step - Umbra Dodge (Gauntlet),陰陽迷蹤步・影閃避（手甲）,,,,,,,,,,
data.skill.mystic.GhostlyStepsUmbraDodgeHengBlade.name,Ghostly Step - Umbra Dodge (Heng Blade),陰陽迷蹤步・影閃避（橫刀）,,,,,,,,,,
data.skill.mystic.GhostlyStepsUmbraDodgeMoBlade.name,Ghostly Step - Umbra Dodge (Mo Blade),陰陽迷蹤步・影閃避（陌刀）,,,,,,,,,,
data.skill.mystic.GhostlyStepsUmbraDodgeRopeDart.name,Ghostly Step - Umbra Dodge (Rope Dart),陰陽迷蹤步・影閃避（繩鏢）,,,,,,,,,,
data.skill.mystic.GhostlyStepsUmbraDodgeSpear.name,Ghostly Step - Umbra Dodge (Spear),陰陽迷蹤步・影閃避（槍）,,,,,,,,,,
data.skill.mystic.GhostlyStepsUmbraDodgeUmbrella.name,Ghostly Step - Umbra Dodge (Umbrella),陰陽迷蹤步・影閃避（傘）,,,,,,,,,,
data.skill.mystic.LeapingToad.name,Leaping Toad [Cancel],金蟾騰躍(打斷),,,,,,,,,,
data.skill.mystic.LeapingToad.shortName,Toad,金蟾(打斷),,,,,,,,,,
data.skill.mystic.SereneBreeze.name,Serene Breeze,清風霽月,,,,,,,,,,
data.skill.mystic.SmolderExplosion.name,Smolder Explosion,暗灼爆炸,,,,,,,,,,
data.skill.mystic.SoaringSpin1.name,Soaring Spin 1-Hit,騎龍回馬1下,,,,,,,,,,
data.skill.mystic.SoaringSpin1.shortName,Soaring 1 Hit,騎龍1,,,,,,,,,,
data.skill.mystic.SoaringSpin2.name,Soaring Spin,騎龍回馬,,,,,,,,,,
data.skill.mystic.SoaringSpin2.shortName,Soaring,騎龍,,,,,,,,,,
data.skill.panaceaFan.CloudburstHealing.name,Cloudburst Healing,坐看雲起,,,,,,,,,,
data.skill.panaceaFan.CloudburstHealing.shortName,Fan Q,扇Q,,,,,,,,,,
data.skill.panaceaFan.CloudburstHealingCancel.name,Cloudburst Healing [Cancel],坐看雲起(打斷),,,,,,,,,,
data.skill.panaceaFan.CloudburstHealingCancel.shortName,Fan Q [Cancel],扇Q(打斷),,,,,,,,,,
data.skill.panaceaFan.EndlessCloud.name,Endless Cloud,白雲無盡,,,,,,,,,,
data.skill.panaceaFan.EndlessCloud.shortName,Fan QQ,扇QQ,,,,,,,,,,
data.skill.panaceaFan.EndlessCloudCancel.name,Endless Cloud [Cancel],白雲無盡(打斷),,,,,,,,,,
data.skill.panaceaFan.EndlessCloudCancel.shortName,Fan QQ [Cancel],扇QQ(打斷),,,,,,,,,,
data.skill.panaceaFan.FourfoldInquiry1.name,Fourfold Inquiry 1st Hit,臨川四問第1擊,,,,,,,,,,
data.skill.panaceaFan.FourfoldInquiry1.shortName,Fan A1,扇A1,,,,,,,,,,
data.skill.panaceaFan.FourfoldInquiry2.name,Fourfold Inquiry 2nd Hit,臨川四問第2擊,,,,,,,,,,
data.skill.panaceaFan.FourfoldInquiry2.shortName,Fan A2,扇A2,,,,,,,,,,
data.skill.panaceaFan.FourfoldInquiry3.name,Fourfold Inquiry 3rd Hit,臨川四問第3擊,,,,,,,,,,
data.skill.panaceaFan.FourfoldInquiry3.shortName,Fan A3,扇A3,,,,,,,,,,
data.skill.panaceaFan.FourfoldInquiry4.name,Fourfold Inquiry 4th Hit,臨川四問第4擊,,,,,,,,,,
data.skill.panaceaFan.FourfoldInquiry4.shortName,Fan A4,扇A4,,,,,,,,,,
data.skill.panaceaFan.JumpHeavy.name,Jump Heavy,跳重,,,,,,,,,,
data.skill.phalanxbaneBlade.AnxiSoldierBurningHeart2.name,Anxi Soldier Burning Heart 2nd Stage,安西軍・焚心第二段,,,,,,,,,,
data.skill.phalanxbaneBlade.AnxiSoldierBurningHeart3.name,Anxi Soldier Burning Heart 3rd Stage,安西軍・焚心第三段,,,,,,,,,,
data.skill.phalanxbaneBlade.AnxiSoldierTotalAnnihilation.name,Anxi Soldier Total Annihilation,安西軍・蕩八荒,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavyCharge2.name,Burning Heart Charge 2,,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavyCharge3.name,Burning Heart Charge 3,,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavyCharged1.name,Burning Heart 1st Stage,焚此心一段,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavyCharged1.shortName,Mo Charged,蓄1,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavyCharged2.name,Burning Heart 2nd Stage,焚此心二段,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavyCharged2.shortName,Mo Charged,蓄2,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavyCharged3.name,Burning Heart 3rd Stage,焚此心三段,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavyCharged3.shortName,Mo Charged,蓄3,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavyFastCharge2.name,Burning Heart Fast Charge 2,,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavyFastCharge3.name,Burning Heart Fast Charge 3,,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavyFastSlam1.name,Burning Heart Fast Slam 1,,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavyFastSlam2.name,Burning Heart Fast Slam 2,,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavyFastSlam3.name,Burning Heart Fast Slam 3,,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavyPreCharge.name,Burning Heart Pre Charge,,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavySlam1.name,Burning Heart Slam 1,,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavySlam2.name,Burning Heart Slam 2,,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneHeavySlam3.name,Burning Heart Slam 3,,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneQ.name,Total Annihilation,蕩八荒,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneQ.shortName,Mo QQ,蕩八荒,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneSpecial.name,Legion Summon,喚千軍,,,,,,,,,,
data.skill.phalanxbaneBlade.PhalanxbaneSpecial.shortName,Mo Special,喚千軍,,,,,,,,,,
data.skill.skygraspRopeDart.SkyGrasped.name,Sky Grasped,索天勢,,,,,,,,,,
data.skill.skygraspRopeDart.SkyGrasped.shortName,RD Special,,,,,,,,,,,
data.skill.skygraspRopeDart.SnaringLash.name,Snaring Lash,飛來勢,,,,,,,,,,
data.skill.skygraspRopeDart.SnaringLash.shortName,RD Q,,,,,,,,,,,
data.skill.skygraspRopeDart.SnaringLashCancel.name,Snaring Lash [Cancel],飛來勢 [取消],,,,,,,,,,
data.skill.skygraspRopeDart.SnaringLashCancel.shortName,RD Q [Cancel],,,,,,,,,,,
data.skill.skygraspRopeDart.SnaringLashFalcon.name,Snaring Lash Falcon,飛來勢鷹隼,,,,,,,,,,
data.skill.snowpartingBlade.AnxiSoldierGeneralsBaneStab.name,Anxi Soldier General's Bane: Stab,安西軍・白刃殺將・刺,,,,,,,,,,
data.skill.snowpartingBlade.AnxiSoldierSnowbreakSpring.name,Anxi Soldier Snowbreak Spring,安西軍・撥雪尋春,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingConversion.name,Snowparting Conversion,橫刀易武,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingConversion.shortName,Heng Tab,橫刀易武,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingHeavyVC.name,Snowbreak Spring,撥雪尋春,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingHeavyVC.shortName,Heng VC,撥雪,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingLightCharged.name,Grave Frost,塚上霜,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingLightCharged.shortName,Heng LC,塚上霜,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingQ.name,General's Bane,白刃殺將,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingQ.shortName,Heng Q,橫Q,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingQSlash.name,General's Bane: Slash,白刃殺將・斬,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingQSlash.shortName,Heng Q,橫Q斬,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingQSlide.name,General's Bane - Slide,白刃殺將滑行,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingQSlide.shortName,Heng Q,滑行,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingQStab.name,General's Bane: Stab,白刃殺將・刺,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingQStab.shortName,Heng Q Stab,橫Q刺,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingSpecial.name,Fleeting Trace,飛鴻踏雪,,,,,,,,,,
data.skill.snowpartingBlade.SnowpartingSpecial.shortName,Heng Special,飛鴻,,,,,,,,,,
data.skill.soulshadeUmbrella.FloatingGrace.name,Floating Grace,一念浮生,,,소생의 향,,,,,,,
data.skill.soulshadeUmbrella.FloatingGrace.shortName,Umbrella Q,傘Q,,,,,,,,,,
data.skill.stormbreakerSpear.StormRoar.name,Storm Roar,風雷嘯,,,,,,,,,,
data.skill.stormbreakerSpear.StormRoar.shortName,Spear Q,槍Q,,,,,,,,,,
data.skill.stormbreakerSpear.ThunderShock.name,Thunder Shock,驚雷震,,,,,,,,,,
data.skill.stormbreakerSpear.ThunderShock.shortName,Spear Special,槍特,,,,,,,,,,
data.skill.stormbreakerSpear.ThunderShock1.name,Thunder Shock 1-Hit [Cancel],驚雷震1下(打斷),,,,,,,,,,
data.skill.stormbreakerSpear.ThunderShock1.shortName,Spear Special 1-Hit,槍特1,,,,,,,,,,
data.skill.thundercryBlade.Avalanche.name,Avalanche,山崩地裂,,,,,,,,,,
data.skill.thundercryBlade.Avalanche.shortName,Charged,蓄3,,,,,,,,,,
data.skill.thundercryBlade.Avalanche1.name,Avalanche 1-Hit [Cancel],山崩地裂1下(打斷),,,,,,,,,,
data.skill.thundercryBlade.Avalanche1.shortName,Charged 1-Hit,蓄3打斷,,,,,,,,,,
data.skill.thundercryBlade.PredatorsShield.name,Predator's Shield,鷹揚虎視,,,,,,,,,,
data.skill.thundercryBlade.PredatorsShield.shortName,Shield,上盾,,,보호막,,,,,,,
data.skill.thundercryBlade.StonebreakerCleave.name,Stonebreaker Cleave [Cancel],破石穿岩劈,,,,,,,,,,
data.skill.thundercryBlade.StonebreakerCleave.shortName,VC,R,,,,,,,,,,
data.skill.thundercryBlade.StonebreakerCleave1.name,Stonebreaker Cleave 1-Hit [Cancel],,,,,,,,,,,
data.skill.thundercryBlade.StonebreakerCleave1.shortName,VC,R,,,,,,,,,,
data.skill.thundercryBlade.StonebreakerQuake.name,Stonebreaker Quake,破石穿岩震,,,,,,,,,,
game.event.battleEnd,Event: Battle End,事件:戰鬥結束,,,,,,,,,,
game.event.buff,Event: Buff,事件:增益,,,,,,,,,,
game.event.controlled,Event: Controlled,事件:控制,,,,,,,,,,
game.event.debuff,Event: Debuff,事件:減益,,,,,,,,,,
game.event.delay,Event: Delay,事件:延遲,,,,,,,,,,
game.event.hp,Event: HP,事件：氣血,,,,,,,,,,
game.event.martialArt,Event: Switch Martial Art,事件：切換武學,,,,,,,,,,
game.event.move,Event: Move,事件:移動,,,,,,,,,,
game.event.qi,Event: Qi,事件：真氣,,,,,,,,,,
game.event.selfHP,Event: Self HP,事件：自身氣血,,,,,,,,,,
game.event.shieldBroken,Event: Shield Broken,事件:破盾,,,,,,,,,,
game.event.takeDamage,Event: Take Damage,事件：承受傷害,,,,,,,,,,
stat.affinity,Affinity Rate,會意率,,,각성 확률,,,,,,,
stat.affinityDmgBonus,Affinity DMG Bonus,會意傷害加成,,,각성 피해 증가,,,,,,,
stat.agility,Agility,敏,,,민첩,,,,,,,
stat.allMartialArts,All Martial Arts,全武學增效,,,전체 무술 효과 증가,,,,,,,
stat.areaMysticDmgBoost,Area Mystic Skill DMG Boost,群體類奇術增傷,,,단체 비결 피해 증가,,,,,,,
stat.bamboocutDmgBonus,Bamboocut DMG Bonus,破竹傷害加成,,,파죽 피해 증가,,,,,,,
stat.bamboocutPenetration,Bamboocut Penetration,破竹穿透,,,파죽 관통,,,,,,,
stat.bellstrikeDmgBonus,Bellstrike DMG Bonus,鳴金傷害加成,,,명금 피해 증가,,,,,,,
stat.bellstrikePenetration,Bellstrike Penetration,鳴金穿透,,,명금 관통,,,,,,,
stat.body,Body,體,,,체력,,,,,,,
stat.crit,Critical Rate,會心率,,,치명타 확률,,,,,,,
stat.critDmgBonus,Crit DMG Bonus,會心傷害加成,,,치명타 피해 증가,,,,,,,
stat.defense,Defense,御,,,방어,,,,,,,
stat.directAffinity,Direct Affinity Rate,直接會意率,,,추가 각성 확률,,,,,,,
stat.directCrit,Direct Critical Rate,直接會心率,,,추가 치명타 확률,,,,,,,
stat.dualBladesDmgBoost,Art of Dual Blades,雙刀武學增傷,,,쌍도 피해 증가,,,,,,,
stat.fanDmgBoost,Art of Fan,扇武學增傷,,,부채 효과 증가,,,,,,,
stat.gauntletDmgBoost,Art of Gauntlet,手甲武學增傷,,,권갑 피해 증가,,,,,,,
stat.hengBladeDmgBoost,Art of Heng Blade,橫刀武學增傷,,,횡도 피해 증가,,,,,,,
stat.maxBamboocut,Max Bamboocut Attack,最大破竹攻擊,,,최대 파죽 공격,,,,,,,
stat.maxBellstrike,Max Bellstrike Attack,最大鳴金攻擊,,,최대 명금 공격,,,,,,,
stat.maxEndurance,Max Endurance,最大精力,,,최대 인내력,,,,,,,
stat.maxHp,Max HP,氣血最大值,,,기혈 최대치,,,,,,,
stat.maxPhys,Max Physical Attack,最大外功攻擊,,,최대 외공 공격,,,,,,,
stat.maxSilkbind,Max Silkbind Attack,最大牽絲攻擊,,,최대 견사 공격,,,,,,,
stat.maxStonesplit,Max Stonesplit Attack,最大裂石攻擊,,,최대 열석 공격,,,,,,,
stat.maxVitality,Max Vitality,最大耐力,,,최대 원기,,,,,,,
stat.maxVoidAttack,Max Void Attack,最大無相攻擊,,,최대 무상 공격,,,,,,,
stat.minBamboocut,Min Bamboocut Attack,最小破竹攻擊,,,최소 파죽 공격,,,,,,,
stat.minBellstrike,Min Bellstrike Attack,最小鳴金攻擊,,,최소 명금 공격,,,,,,,
stat.minPhys,Min Physical Attack,最小外功攻擊,,,최소 외공 공격,,,,,,,
stat.minSilkbind,Min Silkbind Attack,最小牽絲攻擊,,,최소 견사 공격,,,,,,,
stat.minStonesplit,Min Stonesplit Attack,最小裂石攻擊,,,최소 열석 공격,,,,,,,
